Velocity filter [V],Magnet [mA],Measurement
0,0,23.0
0,100,24.0
0,200,25.0
0,300,26.0
0,400,27.0
0,500,28.0
0,600,29.0
0,700,30.0
0,800,31.0
0,900,32.0
0,1000,33.0
30,0,45.0
30,100,44.0
30,200,43.0
30,300,42.0
30,400,41.0
30,500,40.0
30,600,39.0
30,700,37.5
30,800,36.0
30,900,35.0
30,1000,34.0
60,0,46.0
60,100,47.0
60,200,48.0
60,300,49.0
60,400,0.0
60,500,1.0
60,600,2.0
60,700,3.0
60,800,4.0
60,900,5.0
60,1000,6.0
90,0,17.0
90,100,16.0
90,200,15.0
90,300,14.0
90,400,13.0
90,500,12.0
90,600,11.0
90,700,10.0
90,800,9.0
90,900,8.0
90,1000,7.0
120,0,18.0
120,100,19.0
120,200,20.0
120,300,21.0
120,400,22.0
120,500,23.0
120,600,24.0
120,700,25.0
120,800,26.0
120,900,27.0
120,1000,28.0
150,0,40.0
150,100,39.0
150,200,38.0
150,300,37.0
150,400,36.0
150,500,35.0
150,600,34.0
150,700,32.5
150,800,31.0
150,900,30.0
150,1000,29.0
180,0,41.0
180,100,42.0
180,200,43.0
180,300,44.0
180,400,45.0
180,500,46.0
180,600,47.0
180,700,48.0
180,800,49.0
180,900,0.0
180,1000,1.0
210,0,12.0
210,100,11.0
210,200,10.0
210,300,9.0
210,400,8.0
210,500,7.0
210,600,6.0
210,700,5.0
210,800,4.0
210,900,3.0
210,1000,2.0
240,0,13.0
240,100,14.0
240,200,15.0
240,300,16.0
240,400,17.0
240,500,18.0
240,600,19.0
240,700,20.0
240,800,21.0
240,900,22.0
240,1000,23.0
270,0,35.0
270,100,34.0
270,200,33.0
270,300,32.0
270,400,31.0
270,500,30.0
270,600,28.5
270,700,27.0
270,800,26.0
270,900,25.0
270,1000,24.0
300,0,36.0
300,100,37.0
300,200,38.0
300,300,39.0
300,400,40.0
300,500,41.0
300,600,42.0
300,700,43.0
300,800,44.0
300,900,45.0
300,1000,46.0
