Velocity filter,Magnet,Measurement
0,0,39.0
0,100,45.0
0,200,11.0
0,300,7.0
0,400,13.0
0,500,19.0
0,600,25.0
0,700,31.0
0,800,37.0
0,900,43.0
0,1000,29.0
30,0,16.0
30,100,10.0
30,200,4.0
30,300,38.0
30,400,42.0
30,500,36.0
30,600,30.0
30,700,23.5
30,800,17.0
30,900,11.0
30,1000,5.0
60,0,22.0
60,100,28.0
60,200,34.0
60,300,40.0
60,400,46.0
60,500,2.0
60,600,8.0
60,700,14.0
60,800,20.0
60,900,26.0
60,1000,32.0
90,0,29.0
90,100,43.0
90,200,37.0
90,300,31.0
90,400,25.0
90,500,18.5
90,600,12.0
90,700,6.0
90,800,20.0
90,900,44.0
90,1000,38.0
120,0,5.0
120,100,11.0
120,200,17.0
120,300,23.0
120,400,29.0
120,500,35.0
120,600,41.0
120,700,47.0
120,800,3.0
120,900,9.0
120,1000,15.0
150,0,32.0
150,100,26.0
150,200,20.0
150,300,14.0
150,400,8.0
150,500,11.0
150,600,45.0
150,700,39.0
150,800,33.0
150,900,27.0
150,1000,21.0
180,0,38.0
180,100,44.0
180,200,20.0
180,300,6.0
180,400,12.0
180,500,18.0
180,600,25.0
180,700,31.0
180,800,37.0
180,900,43.0
180,1000,29.0
210,0,0.0
210,100,0.0
210,200,0.0
210,300,0.0
210,400,0.0
210,500,0.0
210,600,0.0
210,700,0.0
210,800,0.0
210,900,0.0
210,1000,0.0
240,0,0.0
240,100,0.0
240,200,0.0
240,300,0.0
240,400,0.0
240,500,0.0
240,600,0.0
240,700,0.0
240,800,0.0
240,900,0.0
240,1000,0.0
270,0,0.0
270,100,0.0
270,200,0.0
270,300,0.0
270,400,0.0
270,500,0.0
270,600,0.0
270,700,0.0
270,800,0.0
270,900,0.0
270,1000,0.0
300,0,0.0
300,100,0.0
300,200,0.0
300,300,0.0
300,400,0.0
300,500,0.0
300,600,0.0
300,700,0.0
300,800,0.0
300,900,0.0
300,1000,0.0
